Date,"L - Opened","L - Closed","M - Opened","M - Closed","S - Opened","S - Closed","Total cost","Balance"
2017-11-20,1,0,2,0,2,0,25000,75000
2017-11-21,2,0,2,0,3,0,37500,62500
2017-11-22,2,0,2,0,2,1,37500,62500
2017-11-23,2,0,2,0,2,1,37500,62500
2017-11-24,2,0,2,0,2,1,37500,62500
2017-11-25,2,0,2,0,3,1,40000,60000
2017-11-26,2,0,4,0,3,1,50000,50000
2017-11-27,2,0,4,0,3,1,50000,50000
2017-11-28,2,0,4,0,4,1,52500,47500
2017-11-29,2,0,4,0,4,1,52500,47500
2017-11-30,2,0,4,0,4,1,52500,47500
2017-12-01,1,1,4,0,4,1,52500,47500
2017-12-02,1,1,4,0,5,1,55000,45000
2017-12-03,1,1,4,0,5,1,55000,45000
2017-12-04,1,1,4,0,5,1,55000,45000
2017-12-05,1,1,4,0,5,1,55000,45000
2017-12-06,1,1,5,0,5,1,60000,40000
2017-12-07,1,1,3,2,5,1,60000,40000
2017-12-08,1,1,3,2,5,1,60000,40000
2017-12-09,1,1,3,2,4,2,60000,40000
2017-12-10,1,1,3,2,4,2,60000,40000
2017-12-11,1,1,3,2,4,2,60000,40000
2017-12-12,1,1,3,2,4,2,60000,40000
2017-12-13,1,1,4,2,4,2,65000,35000
2017-12-14,3,1,4,2,4,2,85000,15000
2017-12-15,1,3,4,2,2,2,80000,20000
2017-12-16,1,3,4,2,1,3,80000,20000
2017-12-17,1,3,4,2,0,4,80000,20000
2017-12-18,0,4,1,4,0,4,75000,25000
2017-12-19,0,4,1,4,0,4,75000,25000
2017-12-20,0,4,1,4,0,4,75000,25000
2017-12-21,0,4,1,4,0,4,75000,25000
2017-12-22,0,4,1,4,0,4,75000,25000
2017-12-23,0,4,1,4,0,4,75000,25000
2017-12-24,0,4,1,4,0,4,75000,25000
2017-12-25,0,4,1,4,0,4,75000,25000
2017-12-26,0,4,1,4,0,4,75000,25000
2017-12-27,0,4,1,4,0,4,75000,25000
2017-12-28,0,4,1,4,0,4,75000,25000
